CUST_ID,BALANCE,PURCHASES,PURCHASES_TRX,ONEOFF_PURCHASES,CASH_ADVANCE,CASH_ADVANCE_TRX,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10001,40.900749,95.4,2,0.0,0.0,0,1000.0,201.802084,0.0,12
C10002,3202.467416,0.0,0,0.0,6442.945483,4,7000.0,4103.032597,0.222222,12
C10003,2495.148862,773.17,12,773.17,0.0,0,7500.0,622.066742,0.0,12
C10004,1666.670542,1499.0,1,1499.0,205.788017,1,7500.0,0.0,0.0,12
C10005,817.714335,16.0,1,16.0,0.0,0,1200.0,678.334763,0.0,12
C10006,1809.828751,1333.28,8,0.0,0.0,0,1800.0,1400.05777,0.0,12
C10007,627.260806,7091.01,64,6402.63,0.0,0,13500.0,6354.314328,1.0,12
C10008,1823.652743,436.2,12,0.0,0.0,0,2300.0,679.065082,0.0,12
C10009,1014.926473,861.49,5,661.49,0.0,0,7000.0,688.278568,0.0,12
C10010,152.225975,1281.6,3,1281.6,0.0,0,11000.0,1164.770591,0.0,12
C10011,1293.124939,920.12,12,0.0,0.0,0,1200.0,1083.301007,0.0,12
C10012,630.794744,1492.18,6,1492.18,0.0,0,2000.0,705.618627,0.0,12
C10013,1516.92862,3217.99,26,2500.23,0.0,0,3000.0,608.263689,0.25,12
C10014,921.693369,2137.93,26,419.96,0.0,0,7500.0,1655.891435,0.083333,12
C10015,2772.772734,0.0,0,0.0,346.81139,1,3000.0,805.647974,0.0,12
C10016,6886.213231,1611.7,11,0.0,2301.491267,4,8000.0,1993.439277,0.0,12
C10017,2072.074354,0.0,0,0.0,2784.274703,3,3000.0,391.974562,0.0,8
C10018,41.089489,519.0,8,0.0,0.0,0,2500.0,254.590662,0.25,12
C10019,1989.072228,504.35,9,166.0,0.0,0,13000.0,1720.837373,0.0,12
C10020,3577.970933,398.64,12,0.0,0.0,0,4000.0,1053.980464,0.0,12
C10021,2016.684686,176.68,8,0.0,0.0,0,2000.0,223.0686,0.0,12
C10022,6369.531318,6359.95,92,5910.04,229.028245,6,11250.0,2077.959051,0.0,12
C10023,132.34224,815.9,17,0.0,0.0,0,1800.0,2359.629958,0.0,12
C10024,3800.151377,4248.35,13,3454.56,7974.415626,13,9000.0,9479.043842,0.0,12
C10025,5368.571219,0.0,0,0.0,798.949863,4,6000.0,1422.726707,0.0,11
C10026,169.781679,399.6,12,0.0,0.0,0,3000.0,215.306142,0.0,12
